Maker,Model,Min new price,Max new price,Age,km_driven,seller_type,owner_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
MARUTI,SWIFT DZIRE,653000.0,994999.9999999999,9.0,46000.0,Dealer,First Owner,Petrol,Manual,19.1,1197.0,85.8,5.0,370000.0
MARUTI,BALENO DELTA,668000.0,1042000.0,4.0,25000.0,Dealer,First Owner,Petrol,Manual,21.4,1197.0,83.1,5.0,570000.0
TOYOTA,ETIOS GD,,,6.0,240000.0,Individual,First Owner,Diesel,Manual,23.59,1364.0,67.05,5.0,390000.0
VOLKSWAGEN,POLO DIESEL,,,8.0,90000.0,Dealer,First Owner,Diesel,Manual,22.07,1199.0,73.9,5.0,365000.0
HYUNDAI,I20 MAGNA,,,9.0,49566.0,Dealer,First Owner,Petrol,Manual,18.5,1197.0,82.85,5.0,280000.0
HYUNDAI,VERNA CRDI,1309000.0,1829000.0,3.0,14000.0,Dealer,First Owner,Diesel,Automatic,22.0,1582.0,126.2,5.0,1250000.0
HYUNDAI,I20 2015-2017,802999.9999999999,1341000.0,5.0,11000.0,Dealer,First Owner,Petrol,Manual,18.6,1197.0,81.83,5.0,590000.0
MARUTI,CELERIO VXI,530000.0,665000.0,3.0,5000.0,Individual,First Owner,Petrol,Automatic,23.1,998.0,67.04,5.0,475000.0
FORD,ECOSPORT 2015-2021,1014000.0,1379000.0,4.0,55000.0,Dealer,First Owner,Diesel,Manual,23.0,1498.0,98.96,5.0,685000.0
HYUNDAI,VERNA SX,,,9.0,65000.0,Dealer,First Owner,Diesel,Automatic,19.08,1582.0,126.32,5.0,380000.0
RENAULT,KWID 1.0,397000.0,648000.0,3.0,22000.0,Individual,First Owner,Petrol,Manual,23.01,999.0,67.0,5.0,330000.0
MARUTI,BALENO DELTA,668000.0,1042000.0,3.0,7671.0,Trustmark Dealer,First Owner,Petrol,Manual,21.01,1197.0,81.8,5.0,650000.0
MARUTI,WAGON R,511000.00000000006,679000.0,5.0,66000.0,Individual,First Owner,Petrol,Manual,20.51,998.0,67.04,5.0,325000.0
MARUTI,SWIFT DZIRE,656000.0,1003999.9999999999,3.0,45156.0,Dealer,First Owner,Petrol,Automatic,21.21,1197.0,81.8,5.0,640000.0
HYUNDAI,VENUE SX,719000.0,1212000.0,2.0,25000.0,Individual,First Owner,Petrol,Manual,18.27,998.0,118.35,5.0,949000.0
NISSAN,TERRANO XL,,,6.0,70000.0,Individual,First Owner,Diesel,Manual,20.45,1461.0,83.8,5.0,750000.0
HYUNDAI,VERNA 1.6,1284000.0,1809000.0,6.0,120000.0,Individual,First Owner,Diesel,Manual,23.9,1582.0,126.2,5.0,660000.0
MARUTI,SWIFT VXI,635000.0,927000.0,7.0,28000.0,Dealer,First Owner,Petrol,Manual,16.1,1197.0,85.0,5.0,434999.99999999994
HYUNDAI,I20 SPORTZ,974000.0,1309000.0,8.0,55000.0,Dealer,First Owner,Diesel,Manual,21.9,1396.0,88.76,5.0,385000.0
HYUNDAI,SANTA FE,,,10.0,104000.0,Individual,First Owner,Diesel,Manual,14.66,2199.0,194.3,7.0,1000000.0
HYUNDAI,VERNA CRDI,1309000.0,1829000.0,2.0,14000.0,Dealer,First Owner,Diesel,Automatic,22.0,1582.0,126.2,5.0,1250000.0
HYUNDAI,XCENT 1.2,,,4.0,18000.0,Individual,First Owner,Petrol,Manual,20.14,1197.0,81.86,5.0,550000.0
MARUTI,WAGON R,530000.0,707000.0,12.0,98780.0,Dealer,First Owner,Petrol,Manual,18.9,998.0,67.1,5.0,155000.0
MARUTI,SWIFT VDI,,,6.0,58000.0,Dealer,First Owner,Diesel,Manual,25.2,1248.0,74.0,5.0,415000.00000000006
MARUTI,ALTO K10,,,10.0,30000.0,Individual,First Owner,Petrol,Manual,20.92,998.0,67.1,5.0,250999.99999999997
MAHINDRA,SCORPIO S10,1510000.0,1992000.0000000002,5.0,46400.0,Dealer,First Owner,Diesel,Manual,15.4,2179.0,120.0,7.0,1150000.0
HYUNDAI,I10 MAGNA,,,7.0,32111.0,Trustmark Dealer,First Owner,Petrol,Manual,19.81,1086.0,68.05,5.0,310000.0
DATSUN,GO PLUS,480000.0,788000.0,6.0,35000.0,Individual,First Owner,Petrol,Manual,19.44,1198.0,67.0,7.0,350000.0
MAHINDRA,SCORPIO 1.99,1510000.0,1992000.0000000002,4.0,30000.0,Dealer,First Owner,Diesel,Manual,15.4,1997.0,120.0,7.0,1125000.0
BMW,5 SERIES,,,5.0,63000.0,Dealer,First Owner,Diesel,Automatic,18.59,2993.0,261.49,5.0,2600000.0
CHEVROLET,BEAT LT,,,4.0,43890.0,Individual,First Owner,Petrol,Manual,17.8,1199.0,76.8,5.0,200000.0
DATSUN,GO PLUS,497000.0,809000.0,3.0,10000.0,Individual,First Owner,Petrol,Manual,20.62,1198.0,67.0,7.0,480000.0
MARUTI,SWIFT DZIRE,,,4.0,25000.0,Individual,First Owner,Diesel,Automatic,28.4,1248.0,74.02,5.0,850000.0
HYUNDAI,CRETA 1.6,1170000.0,1975000.0,4.0,102000.0,Dealer,First Owner,Diesel,Automatic,17.01,1582.0,126.2,5.0,1100000.0
MARUTI,SWIFT VXI,,,3.0,35000.0,Dealer,First Owner,Petrol,Manual,22.0,1197.0,81.8,5.0,575000.0
MARUTI,SWIFT DZIRE,656000.0,1003999.9999999999,9.0,49948.0,Dealer,First Owner,Petrol,Manual,17.5,1298.0,85.8,5.0,340000.0
TATA,INDIGO ELX,,,3.0,114851.0,Individual,First Owner,Diesel,Manual,25.0,1396.0,69.01,5.0,559000.0
FORD,ECOSPORT 2015-2021,1015000.0,1371000.0,3.0,55000.0,Individual,First Owner,Diesel,Manual,23.0,1498.0,98.96,5.0,925000.0
HYUNDAI,GRAND I10,648000.0,657000.0,6.0,36000.0,Dealer,First Owner,Petrol,Manual,18.9,1197.0,82.0,5.0,400000.0
HYUNDAI,XCENT 1.2,,,2.0,35000.0,Individual,First Owner,Diesel,Manual,25.4,1186.0,73.97,5.0,560000.0
HONDA,CITY I,1268000.0,1680000.0,5.0,49625.0,Dealer,First Owner,Petrol,Manual,17.8,1497.0,117.3,5.0,725000.0
MARUTI,SWIFT DZIRE,,,7.0,35000.0,Individual,First Owner,Diesel,Manual,23.4,1248.0,74.0,5.0,600000.0
MAHINDRA,SCORPIO VLX,1479000.0,1920000.0,8.0,95000.0,Individual,First Owner,Diesel,Manual,12.05,2179.0,120.0,8.0,550000.0
FORD,ASPIRE 1.5,972000.0000000001,1008000.0,4.0,36000.0,Dealer,First Owner,Diesel,Manual,25.83,1498.0,99.0,5.0,585000.0
MARUTI,WAGON R,536000.0,712000.0,2.0,50000.0,Individual,First Owner,Petrol,Manual,21.79,998.0,67.05,5.0,411000.00000000006
MARUTI,SWIFT DZIRE,680000.0,1013000.0000000001,6.0,26500.0,Individual,First Owner,Petrol,Manual,20.85,1197.0,83.14,5.0,450000.0
HONDA,CR-V 2.0L,3264000.0,3404999.9999999995,6.0,80000.0,Dealer,First Owner,Petrol,Automatic,13.7,1997.0,153.86,5.0,1290000.0
VOLKSWAGEN,POLO 1.2,,,6.0,46000.0,Dealer,First Owner,Petrol,Manual,16.47,1198.0,74.0,5.0,455000.0
HYUNDAI,GRAND I10,596000.0,891000.0,2.0,9000.0,Individual,First Owner,Petrol,Manual,20.7,1197.0,81.86,5.0,710000.0
MAHINDRA,TUV 300,,,5.0,70000.0,Individual,First Owner,Diesel,Manual,18.49,1493.0,100.0,7.0,450000.0
TOYOTA,ETIOS LIVA,,,6.0,33000.0,Dealer,First Owner,Petrol,Manual,17.71,1197.0,78.9,5.0,465000.00000000006
HONDA,CITY V,1268000.0,1680000.0,5.0,53000.0,Dealer,First Owner,Petrol,Manual,16.8,1497.0,116.3,5.0,770000.0
TATA,INDIGO LS,,,6.0,50000.0,Individual,First Owner,Diesel,Manual,19.09,1405.0,69.01,5.0,320000.0
TATA,INDIGO LX,,,6.0,50000.0,Individual,First Owner,Diesel,Manual,19.09,1405.0,69.01,5.0,325000.0
FORD,ENDEAVOUR 3.2,3627000.0000000005,4273000.0,3.0,11387.0,Individual,First Owner,Diesel,Automatic,10.91,3198.0,197.0,7.0,2900000.0
HONDA,AMAZE VX,899000.0,1166000.0,3.0,50000.0,Individual,First Owner,Diesel,Manual,25.8,1498.0,98.6,5.0,720000.0
MAHINDRA,KUV 100,,,5.0,52000.0,Dealer,First Owner,Diesel,Manual,25.32,1198.0,77.0,5.0,375000.0
CHEVROLET,AVEO 1.4,,,11.0,60000.0,Individual,First Owner,Petrol,Manual,14.49,1399.0,92.7,5.0,145000.0
DATSUN,GO PLUS,480000.0,788000.0,6.0,35000.0,Individual,First Owner,Petrol,Manual,19.44,1198.0,67.0,7.0,400000.0
RENAULT,DUSTER 85PS,,,6.0,48000.0,Individual,First Owner,Diesel,Manual,19.87,1461.0,83.8,5.0,600000.0
HONDA,JAZZ 1.2,856000.0,1099000.0,3.0,18000.0,Individual,First Owner,Petrol,Manual,18.7,1199.0,88.7,5.0,600000.0
MARUTI,WAGON R,,,9.0,57413.0,Individual,First Owner,LPG,Manual,14.4,998.0,61.7,5.0,270000.0
HYUNDAI,I20 MAGNA,763000.0,1266000.0,6.0,30000.0,Individual,First Owner,Petrol,Manual,18.6,1197.0,81.83,5.0,500000.0
HYUNDAI,VERNA 1.6,1309000.0,1829000.0,6.0,55000.0,Dealer,First Owner,Diesel,Manual,23.9,1582.0,126.2,5.0,650000.0
CHEVROLET,SAIL 1.2,,,6.0,120000.0,Individual,First Owner,Petrol,Manual,18.2,1199.0,82.4,5.0,380000.0
MITSUBISHI,PAJERO SPORT,,,9.0,165000.0,Individual,First Owner,Diesel,Manual,13.5,2477.0,175.56,7.0,728000.0
MARUTI,SWIFT AMT,629000.0,914000.0,3.0,10000.0,Individual,First Owner,Petrol,Automatic,21.21,1197.0,81.8,5.0,660000.0
TATA,INDICA VISTA,,,11.0,120000.0,Individual,First Owner,Diesel,Manual,18.0,1248.0,75.0,5.0,180000.0
BMW,3 SERIES,,,5.0,68000.0,Dealer,First Owner,Diesel,Automatic,22.69,1995.0,190.0,5.0,2089999.9999999998
CHEVROLET,BEAT DIESEL,,,6.0,55000.0,Dealer,First Owner,Diesel,Manual,25.44,936.0,56.3,5.0,250000.0
KIA,SELTOS HTK,1152000.0,2026000.0000000002,1.0,8000.0,Dealer,First Owner,Petrol,Manual,16.8,1497.0,113.4,5.0,1275000.0
TOYOTA,COROLLA ALTIS,,,9.0,80000.0,Dealer,First Owner,Petrol,Manual,14.53,1798.0,138.1,5.0,455000.0
MARUTI,SWIFT VDI,,,6.0,65000.0,Dealer,First Owner,Diesel,Manual,28.4,1248.0,74.0,5.0,495000.0
MARUTI,RITZ VXI,,,11.0,47000.0,Individual,First Owner,Petrol,Manual,21.1,1197.0,85.8,5.0,220000.00000000003
MARUTI,S-CROSS 2017-2020,,,3.0,185000.0,Individual,First Owner,Diesel,Manual,25.1,1248.0,88.5,5.0,800000.0
HYUNDAI,SANTA FE,,,7.0,68000.0,Dealer,First Owner,Diesel,Automatic,13.01,2199.0,194.3,7.0,1295000.0
HYUNDAI,GRAND I10,711000.0,748000.0,5.0,25000.0,Individual,First Owner,Petrol,Manual,18.9,1197.0,82.0,5.0,475000.0
TATA,SUMO GOLD,,,7.0,280000.0,Individual,First Owner,Diesel,Manual,15.3,2956.0,83.83,7.0,380000.0
MARUTI,S-CROSS 2017-2020,,,3.0,7791.0,Individual,First Owner,Diesel,Manual,25.1,1248.0,88.5,5.0,900000.0
MARUTI,CIAZ VXI,942000.0,1272000.0,6.0,70000.0,Individual,First Owner,Petrol,Manual,20.73,1373.0,91.1,5.0,530000.0
TATA,TIAGO 1.2,553000.0,782000.0,5.0,9500.0,Individual,First Owner,Petrol,Manual,23.84,1199.0,84.0,5.0,530000.0
